Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
NBEA	neurobeachin	699 / 16,405	10
BRCA2	BRCA2 DNA repair associated	566 / 16,405	10
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	10
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	11
UBR5	ubiquitin protein ligase E3 component n-recognin 5	559 / 16,405	10
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	9
COL3A1	collagen type III alpha 1 chain	583 / 16,405	9
ANK1	ankyrin 1	700 / 16,405	9
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	9
ATM	ATM serine/threonine kinase	757 / 16,405	10
CNTRL	centriolin	351 / 16,405	9
CLTCL1	clathrin heavy chain like 1	315 / 16,405	9
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	9
IL21R	interleukin 21 receptor	239 / 16,405	9
ZNF521	zinc finger protein 521	536 / 16,405	9
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	8
NTRK1	neurotrophic receptor tyrosine kinase 1	258 / 16,405	9
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	8
ZNF479	zinc finger protein 479	386 / 16,405	8
LATS1	large tumor suppressor kinase 1	285 / 16,405	8
KDM5C	lysine demethylase 5C	385 / 16,405	8
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	241 / 16,405	8
RET	ret proto-oncogene	365 / 16,405	8
DCTN1	dynactin subunit 1	275 / 16,405	9
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	8
GRM3	glutamate metabotropic receptor 3	528 / 16,405	8
ROBO2	roundabout guidance receptor 2	668 / 16,405	8
DNM2	dynamin 2	286 / 16,405	8
KAT6A	lysine acetyltransferase 6A	415 / 16,405	8
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	7
MED12	mediator complex subunit 12	556 / 16,405	7
EPHA3	EPH receptor A3	523 / 16,405	7
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	8
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	7
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	8
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	390 / 16,405	7
PTPRK	protein tyrosine phosphatase receptor type K	419 / 16,405	7
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	7
TFE3	transcription factor binding to IGHM enhancer 3	203 / 16,405	6
COL1A1	collagen type I alpha 1 chain	383 / 16,405	7
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	7
SALL4	spalt like transcription factor 4	373 / 16,405	7
BCL9L	BCL9 like	347 / 16,405	7
CIC	capicua transcriptional repressor	462 / 16,405	7
ARID2	AT-rich interaction domain 2	527 / 16,405	7
ITK	IL2 inducible T cell kinase	238 / 16,405	7
AFF4	AF4/FMR2 family member 4	241 / 16,405	7
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	7
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	7
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	7
RGS7	regulator of G protein signaling 7	350 / 16,405	7
RANBP2	RAN binding protein 2	533 / 16,405	7
KAT6B	lysine acetyltransferase 6B	348 / 16,405	6
EWSR1	EWS RNA binding protein 1	163 / 16,405	6
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	6
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	6
NRG1	neuregulin 1	448 / 16,405	6
AFDN	afadin, adherens junction formation factor	416 / 16,405	6
CTNND2	catenin delta 2	677 / 16,405	6
TNC	tenascin C	528 / 16,405	6
NIN	ninein	384 / 16,405	6
GLI1	GLI family zinc finger 1	328 / 16,405	7
NCOR2	nuclear receptor corepressor 2	514 / 16,405	6
PTCH1	patched 1	386 / 16,405	6
EPHA7	EPH receptor A7	419 / 16,405	6
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	6
PAX3	paired box 3	232 / 16,405	6
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	197 / 16,405	6
ZEB1	zinc finger E-box binding homeobox 1	390 / 16,405	6
STAG1	stromal antigen 1	297 / 16,405	6
TFRC	transferrin receptor	143 / 16,405	6
THRAP3	thyroid hormone receptor associated protein 3	230 / 16,405	6
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	6
POLQ	DNA polymerase theta	528 / 16,405	6
EP300	E1A binding protein p300	566 / 16,405	6
KDM5A	lysine demethylase 5A	358 / 16,405	6
BCLAF1	BCL2 associated transcription factor 1	240 / 16,405	7
PRKCB	protein kinase C beta	344 / 16,405	6
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	698 / 16,405	6
NUP98	nucleoporin 98 and 96 precursor	327 / 16,405	6
NUP214	nucleoporin 214	360 / 16,405	6
EML4	EMAP like 4	195 / 16,405	5
MSH6	mutS homolog 6	318 / 16,405	5
ASXL1	ASXL transcriptional regulator 1	403 / 16,405	5
MYC	MYC proto-oncogene, bHLH transcription factor	177 / 16,405	5
DDR2	discoidin domain receptor tyrosine kinase 2	267 / 16,405	5
ARHGEF10	Rho guanine nucleotide exchange factor 10	316 / 16,405	5
DICER1	dicer 1, ribonuclease III	385 / 16,405	5
ERBB3	erb-b2 receptor tyrosine kinase 3	380 / 16,405	5
TSC2	TSC complex subunit 2	387 / 16,405	5
DDX5	DEAD-box helicase 5	162 / 16,405	5
EGFR	epidermal growth factor receptor	645 / 16,405	5
USP6	ubiquitin specific peptidase 6	345 / 16,405	5
GPC5	glypican 5	337 / 16,405	5
TOP1	DNA topoisomerase I	168 / 16,405	5
PRDM16	PR/SET domain 16	377 / 16,405	5
KRAS	KRAS proto-oncogene, GTPase	1,762 / 16,405	3
NCOA2	nuclear receptor coactivator 2	304 / 16,405	5
PALB2	partner and localizer of BRCA2	233 / 16,405	5
GATA3	GATA binding protein 3	386 / 16,405	5
PTEN	phosphatase and tensin homolog	1,230 / 16,405	5
DNMT3A	DNA methyltransferase 3 alpha	336 / 16,405	5
PRDM1	PR/SET domain 1	272 / 16,405	5
AR	androgen receptor	339 / 16,405	5
ISX	intestine specific homeobox	109 / 16,405	5
FBXW7	F-box and WD repeat domain containing 7	657 / 16,405	5
TNFAIP3	TNF alpha induced protein 3	178 / 16,405	5
RALGDS	ral guanine nucleotide dissociation stimulator	182 / 16,405	5
COL2A1	collagen type II alpha 1 chain	404 / 16,405	5
DROSHA	drosha ribonuclease III	280 / 16,405	5
ZBTB16	zinc finger and BTB domain containing 16	225 / 16,405	5
TCF12	transcription factor 12	191 / 16,405	5
CLIP1	CAP-Gly domain containing linker protein 1	266 / 16,405	5
KDM6A	lysine demethylase 6A	472 / 16,405	6
JAK3	Janus kinase 3	280 / 16,405	5
GNAS	GNAS complex locus	366 / 16,405	4
CNOT3	CCR4-NOT transcription complex subunit 3	220 / 16,405	6
WRN	WRN RecQ like helicase	263 / 16,405	5
PTPRC	protein tyrosine phosphatase receptor type C	485 / 16,405	5
MYH9	myosin heavy chain 9	483 / 16,405	5
KIAA1549	KIAA1549	468 / 16,405	5
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	288 / 16,405	5
ARID1A	AT-rich interaction domain 1A	1,151 / 16,405	5
STAT6	signal transducer and activator of transcription 6	165 / 16,405	5
FLNA	filamin A	589 / 16,405	5
AMER1	APC membrane recruitment protein 1	430 / 16,405	5
SETDB1	SET domain bifurcated histone lysine methyltransferase 1	296 / 16,405	4
FBXO11	F-box protein 11	172 / 16,405	4
SETBP1	SET binding protein 1	532 / 16,405	4
NTHL1	nth like DNA glycosylase 1	71 / 16,405	3
CNBD1	cyclic nucleotide binding domain containing 1	245 / 16,405	4
NCOA1	nuclear receptor coactivator 1	286 / 16,405	4
ELN	elastin	238 / 16,405	4
PCM1	pericentriolar material 1	230 / 16,405	4
MAP3K13	mitogen-activated protein kinase kinase kinase 13	250 / 16,405	4
MECOM	MDS1 and EVI1 complex locus	443 / 16,405	4
PER1	period circadian regulator 1	242 / 16,405	4
EXT1	exostosin glycosyltransferase 1	215 / 16,405	4
BCR	BCR activator of RhoGEF and GTPase	273 / 16,405	4
RBM15	RNA binding motif protein 15	220 / 16,405	4
PMS2	PMS1 homolog 2, mismatch repair system component	222 / 16,405	4
PPARG	peroxisome proliferator activated receptor gamma	161 / 16,405	4
MRTFA	myocardin related transcription factor A	203 / 16,405	4
MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	237 / 16,405	4
FIP1L1	factor interacting with PAPOLA and CPSF1	151 / 16,405	4
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	3
MDM4	MDM4 regulator of p53	118 / 16,405	4
MLLT6	MLLT6, PHD finger containing	212 / 16,405	4
MUC4	mucin 4, cell surface associated	630 / 16,405	4
CSF3R	colony stimulating factor 3 receptor	242 / 16,405	4
CDH1	cadherin 1	404 / 16,405	4
BCL11A	BAF chromatin remodeling complex subunit BCL11A	383 / 16,405	4
BIRC3	baculoviral IAP repeat containing 3	150 / 16,405	4
STAT3	signal transducer and activator of transcription 3	214 / 16,405	4
TBX3	T-box transcription factor 3	278 / 16,405	4
BCOR	BCL6 corepressor	489 / 16,405	4
NONO	non-POU domain containing octamer binding	148 / 16,405	4
AFF3	AF4/FMR2 family member 3	440 / 16,405	4
MSH2	mutS homolog 2	206 / 16,405	4
BAZ1A	bromodomain adjacent to zinc finger domain 1A	270 / 16,405	4
CSF1R	colony stimulating factor 1 receptor	246 / 16,405	4
LZTR1	leucine zipper like transcription regulator 1	275 / 16,405	4
NCOR1	nuclear receptor corepressor 1	538 / 16,405	5
ERBB2	erb-b2 receptor tyrosine kinase 2	353 / 16,405	3
