Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
NBEA	neurobeachin	699 / 16,405	10
BRCA2	BRCA2 DNA repair associated	566 / 16,405	10
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	10
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	11
UBR5	ubiquitin protein ligase E3 component n-recognin 5	559 / 16,405	10
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	9
COL3A1	collagen type III alpha 1 chain	583 / 16,405	9
ANK1	ankyrin 1	700 / 16,405	9
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	9
ATM	ATM serine/threonine kinase	757 / 16,405	10
CNTRL	centriolin	351 / 16,405	9
CLTCL1	clathrin heavy chain like 1	315 / 16,405	9
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	9
IL21R	interleukin 21 receptor	239 / 16,405	9
ZNF521	zinc finger protein 521	536 / 16,405	9
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	8
NTRK1	neurotrophic receptor tyrosine kinase 1	258 / 16,405	9
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	8
ZNF479	zinc finger protein 479	386 / 16,405	8
LATS1	large tumor suppressor kinase 1	285 / 16,405	8
KDM5C	lysine demethylase 5C	385 / 16,405	8
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	241 / 16,405	8
RET	ret proto-oncogene	365 / 16,405	8
DCTN1	dynactin subunit 1	275 / 16,405	9
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	8
GRM3	glutamate metabotropic receptor 3	528 / 16,405	8
ROBO2	roundabout guidance receptor 2	668 / 16,405	8
DNM2	dynamin 2	286 / 16,405	8
KAT6A	lysine acetyltransferase 6A	415 / 16,405	8
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	7
MED12	mediator complex subunit 12	556 / 16,405	7
EPHA3	EPH receptor A3	523 / 16,405	7
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	8
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	7
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	8
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	390 / 16,405	7
PTPRK	protein tyrosine phosphatase receptor type K	419 / 16,405	7
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	7
TFE3	transcription factor binding to IGHM enhancer 3	203 / 16,405	6
COL1A1	collagen type I alpha 1 chain	383 / 16,405	7
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	7
SALL4	spalt like transcription factor 4	373 / 16,405	7
BCL9L	BCL9 like	347 / 16,405	7
CIC	capicua transcriptional repressor	462 / 16,405	7
ARID2	AT-rich interaction domain 2	527 / 16,405	7
ITK	IL2 inducible T cell kinase	238 / 16,405	7
AFF4	AF4/FMR2 family member 4	241 / 16,405	7
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	7
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	7
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	7
RGS7	regulator of G protein signaling 7	350 / 16,405	7
RANBP2	RAN binding protein 2	533 / 16,405	7
KAT6B	lysine acetyltransferase 6B	348 / 16,405	6
EWSR1	EWS RNA binding protein 1	163 / 16,405	6
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	6
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	6
NRG1	neuregulin 1	448 / 16,405	6
AFDN	afadin, adherens junction formation factor	416 / 16,405	6
CTNND2	catenin delta 2	677 / 16,405	6
TNC	tenascin C	528 / 16,405	6
NIN	ninein	384 / 16,405	6
GLI1	GLI family zinc finger 1	328 / 16,405	7
NCOR2	nuclear receptor corepressor 2	514 / 16,405	6
PTCH1	patched 1	386 / 16,405	6
