Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
FAM135B	family with sequence similarity 135 member B	947 / 16,405	13
NOTCH2	notch receptor 2	430 / 16,405	15
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	12
AFDN	afadin, adherens junction formation factor	416 / 16,405	16
BRCA2	BRCA2 DNA repair associated	566 / 16,405	18
PRDM16	PR/SET domain 16	377 / 16,405	14
PTPRK	protein tyrosine phosphatase receptor type K	419 / 16,405	11
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	427 / 16,405	16
WNK2	WNK lysine deficient protein kinase 2	461 / 16,405	14
ZMYM3	zinc finger MYM-type containing 3	322 / 16,405	12
COL2A1	collagen type II alpha 1 chain	404 / 16,405	13
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	12
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	12
ATR	ATR serine/threonine kinase	495 / 16,405	12
KIAA1549	KIAA1549	468 / 16,405	16
AMER1	APC membrane recruitment protein 1	430 / 16,405	13
ANK1	ankyrin 1	700 / 16,405	12
NCOR2	nuclear receptor corepressor 2	514 / 16,405	11
