Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	27
ARHGAP5	Rho GTPase activating protein 5	360 / 16,405	23
NUP214	nucleoporin 214	360 / 16,405	23
RPL22	ribosomal protein L22	263 / 16,405	6
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	27
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	30
SF3B1	splicing factor 3b subunit 1	366 / 16,405	26
BCR	BCR activator of RhoGEF and GTPase	273 / 16,405	24
RBM15	RNA binding motif protein 15	220 / 16,405	22
EBF1	EBF transcription factor 1	267 / 16,405	24
N4BP2	NEDD4 binding protein 2	304 / 16,405	26
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	24
SALL4	spalt like transcription factor 4	373 / 16,405	24
KDM5A	lysine demethylase 5A	358 / 16,405	27
DROSHA	drosha ribonuclease III	280 / 16,405	30
JAK3	Janus kinase 3	280 / 16,405	25
NUP98	nucleoporin 98 and 96 precursor	327 / 16,405	23
KAT6B	lysine acetyltransferase 6B	348 / 16,405	26
PBRM1	polybromo 1	579 / 16,405	26
CTNND1	catenin delta 1	272 / 16,405	27
TSC1	TSC complex subunit 1	273 / 16,405	25
DICER1	dicer 1, ribonuclease III	385 / 16,405	33
ERBB3	erb-b2 receptor tyrosine kinase 3	380 / 16,405	21
BRD3	bromodomain containing 3	188 / 16,405	16
SMAD2	SMAD family member 2	175 / 16,405	20
MSH2	mutS homolog 2	206 / 16,405	23
GATA3	GATA binding protein 3	386 / 16,405	24
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	24
PRKCB	protein kinase C beta	344 / 16,405	27
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	31
TGFBR2	transforming growth factor beta receptor 2	251 / 16,405	17
TSC2	TSC complex subunit 2	387 / 16,405	27
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	222 / 16,405	25
NSD2	nuclear receptor binding SET domain protein 2	387 / 16,405	24
MRTFA	myocardin related transcription factor A	203 / 16,405	23
FKBP9	FKBP prolyl isomerase 9	152 / 16,405	16
EPHA7	EPH receptor A7	419 / 16,405	27
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	12
ZEB1	zinc finger E-box binding homeobox 1	390 / 16,405	21
ETV1	ETS variant transcription factor 1	229 / 16,405	21
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	22
TET2	tet methylcytosine dioxygenase 2	334 / 16,405	29
AFF4	AF4/FMR2 family member 4	241 / 16,405	23
DCTN1	dynactin subunit 1	275 / 16,405	23
GNAS	GNAS complex locus	366 / 16,405	15
TP63	tumor protein p63	401 / 16,405	21
FANCA	FA complementation group A	255 / 16,405	24
STAT5B	signal transducer and activator of transcription 5B	206 / 16,405	15
EML4	EMAP like 4	195 / 16,405	17
BRD4	bromodomain containing 4	264 / 16,405	21
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	194 / 16,405	19
CASP8	caspase 8	318 / 16,405	21
SMAD3	SMAD family member 3	160 / 16,405	25
