Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
POLQ	DNA polymerase theta	528 / 16,405	124
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	158
CDH10	cadherin 10	736 / 16,405	119
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	87
RB1	RB transcriptional corepressor 1	560 / 16,405	87
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	119
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	96
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	427 / 16,405	122
SPEN	spen family transcriptional repressor	628 / 16,405	152
SALL4	spalt like transcription factor 4	373 / 16,405	94
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	129
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	107
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	119
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	119
NUP214	nucleoporin 214	360 / 16,405	87
TNC	tenascin C	528 / 16,405	121
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	108
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	284 / 16,405	57
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	90
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	121
KAT6A	lysine acetyltransferase 6A	415 / 16,405	119
PTCH1	patched 1	386 / 16,405	94
CIC	capicua transcriptional repressor	462 / 16,405	88
AFDN	afadin, adherens junction formation factor	416 / 16,405	108
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	112
CDH11	cadherin 11	492 / 16,405	95
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	119
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	91
CARD11	caspase recruitment domain family member 11	482 / 16,405	79
CASP8	caspase 8	318 / 16,405	70
NIN	ninein	384 / 16,405	108
ARID2	AT-rich interaction domain 2	527 / 16,405	93
NOTCH1	notch receptor 1	806 / 16,405	104
ROBO2	roundabout guidance receptor 2	668 / 16,405	91
SETBP1	SET binding protein 1	532 / 16,405	87
