Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
BCL11B	BAF chromatin remodeling complex subunit BCL11B	350 / 16,405	7
PMS2	PMS1 homolog 2, mismatch repair system component	222 / 16,405	8
NIN	ninein	384 / 16,405	9
NCOR2	nuclear receptor corepressor 2	514 / 16,405	13
ZNF479	zinc finger protein 479	386 / 16,405	9
BRD3	bromodomain containing 3	188 / 16,405	7
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	13
PML	PML nuclear body scaffold	261 / 16,405	9
MAX	MYC associated factor X	141 / 16,405	5
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	5
TEC	transient erythroblastopenia of childhood	146 / 16,405	9
NFIB	nuclear factor I B	163 / 16,405	8
ELF4	E74 like ETS transcription factor 4	175 / 16,405	8
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	197 / 16,405	7
NCOA2	nuclear receptor coactivator 2	304 / 16,405	7
LATS1	large tumor suppressor kinase 1	285 / 16,405	9
BAZ1A	bromodomain adjacent to zinc finger domain 1A	270 / 16,405	8
KDM5C	lysine demethylase 5C	385 / 16,405	10
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	241 / 16,405	8
EPAS1	endothelial PAS domain protein 1	212 / 16,405	10
SGK1	serum/glucocorticoid regulated kinase 1	213 / 16,405	9
TET2	tet methylcytosine dioxygenase 2	334 / 16,405	9
PRCC	proline rich mitotic checkpoint control factor	115 / 16,405	2
EP300	E1A binding protein p300	566 / 16,405	13
KDM5A	lysine demethylase 5A	358 / 16,405	9
NACA	nascent polypeptide associated complex subunit alpha	341 / 16,405	8
H3-3A	H3.3 histone A	48 / 16,405	6
ESR1	estrogen receptor 1	226 / 16,405	6
BLM	BLM RecQ like helicase	261 / 16,405	9
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	7
RNF213	ring finger protein 213	756 / 16,405	13
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	11
MYH9	myosin heavy chain 9	483 / 16,405	11
JAK2	Janus kinase 2	291 / 16,405	9
PDGFRB	platelet derived growth factor receptor beta	264 / 16,405	7
