Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	55
CIITA	class II major histocompatibility complex transactivator	319 / 16,405	54
NRG1	neuregulin 1	448 / 16,405	60
ZNF479	zinc finger protein 479	386 / 16,405	51
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	50
SALL4	spalt like transcription factor 4	373 / 16,405	53
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	58
SLC34A2	solute carrier family 34 member 2	255 / 16,405	53
POLQ	DNA polymerase theta	528 / 16,405	51
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	51
CREBBP	CREB binding protein	774 / 16,405	51
CUX1	cut like homeobox 1	489 / 16,405	59
AFF3	AF4/FMR2 family member 3	440 / 16,405	51
CDH17	cadherin 17	264 / 16,405	49
FGFR2	fibroblast growth factor receptor 2	375 / 16,405	50
PTEN	phosphatase and tensin homolog	1,230 / 16,405	41
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	43
IKZF1	IKAROS family zinc finger 1	336 / 16,405	46
