Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
FANCD2	FA complementation group D2	272 / 16,405	29
CNTRL	centriolin	351 / 16,405	30
WRN	WRN RecQ like helicase	263 / 16,405	28
NOTCH1	notch receptor 1	806 / 16,405	31
ZNF521	zinc finger protein 521	536 / 16,405	30
IDH1	isocitrate dehydrogenase (NADP(+)) 1	595 / 16,405	9
ARHGEF12	Rho guanine nucleotide exchange factor 12	305 / 16,405	26
KCNJ5	potassium inwardly rectifying channel subfamily J member 5	160 / 16,405	30
SYK	spleen associated tyrosine kinase	178 / 16,405	26
FOXP1	forkhead box P1	280 / 16,405	27
MN1	MN1 proto-oncogene, transcriptional regulator	292 / 16,405	29
KNSTRN	kinetochore localized astrin (SPAG5) binding protein	120 / 16,405	12
CSF1R	colony stimulating factor 1 receptor	246 / 16,405	32
ACSL6	acyl-CoA synthetase long chain family member 6	215 / 16,405	28
BCL9	BCL9 transcription coactivator	338 / 16,405	29
AFF4	AF4/FMR2 family member 4	241 / 16,405	26
CBL	Cbl proto-oncogene	205 / 16,405	29
PBX1	PBX homeobox 1	184 / 16,405	26
TERT	telomerase reverse transcriptase	254 / 16,405	33
PRDM2	PR/SET domain 2	333 / 16,405	29
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	26
ARHGEF10	Rho guanine nucleotide exchange factor 10	316 / 16,405	25
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	27
PML	PML nuclear body scaffold	261 / 16,405	27
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	31
ACKR3	atypical chemokine receptor 3	153 / 16,405	27
SF3B1	splicing factor 3b subunit 1	366 / 16,405	25
FBLN2	fibulin 2	281 / 16,405	28
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	19
