Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
PTEN	phosphatase and tensin homolog	1,230 / 16,405	11
CDH11	cadherin 11	492 / 16,405	11
CARD11	caspase recruitment domain family member 11	482 / 16,405	12
KIAA1549	KIAA1549	468 / 16,405	11
RANBP2	RAN binding protein 2	533 / 16,405	11
NUP214	nucleoporin 214	360 / 16,405	11
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	10
COL3A1	collagen type III alpha 1 chain	583 / 16,405	10
MECOM	MDS1 and EVI1 complex locus	443 / 16,405	10
CTNND2	catenin delta 2	677 / 16,405	11
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	11
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	11
CDH1	cadherin 1	404 / 16,405	11
KRAS	KRAS proto-oncogene, GTPase	1,762 / 16,405	8
KDR	kinase insert domain receptor	501 / 16,405	11
NCOR1	nuclear receptor corepressor 1	538 / 16,405	11
EP300	E1A binding protein p300	566 / 16,405	11
CNTNAP2	contactin associated protein 2	812 / 16,405	12
MACC1	MET transcriptional regulator MACC1	234 / 16,405	10
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	10
CUX1	cut like homeobox 1	489 / 16,405	9
IRS4	insulin receptor substrate 4	456 / 16,405	9
AFDN	afadin, adherens junction formation factor	416 / 16,405	10
AXIN2	axin 2	248 / 16,405	9
EGFR	epidermal growth factor receptor	645 / 16,405	8
MYH11	myosin heavy chain 11	566 / 16,405	9
N4BP2	NEDD4 binding protein 2	304 / 16,405	9
CLTC	clathrin heavy chain	301 / 16,405	9
JAK1	Janus kinase 1	371 / 16,405	8
COL2A1	collagen type II alpha 1 chain	404 / 16,405	9
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	9
NFE2L2	nuclear factor, erythroid 2 like 2	331 / 16,405	10
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	9
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	275 / 16,405	9
PTPRC	protein tyrosine phosphatase receptor type C	485 / 16,405	9
KAT6B	lysine acetyltransferase 6B	348 / 16,405	9
ALK	ALK receptor tyrosine kinase	491 / 16,405	8
NOTCH2	notch receptor 2	430 / 16,405	8
KTN1	kinectin 1	212 / 16,405	8
